lon,lat,name,address,pname,cityname,business_area,type
116.642151,40.310128,望怀大厦,东关二区6号,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.63011,40.319267,慧友大厦,青春路21-7号,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.649542,40.292033,恒城大厦,庙城镇怡安园小区北门向东200米,北京市,北京市,庙城,商务住宅;楼宇;商务写字楼
116.646356,40.341092,劳动大厦(北2门),开放路86号,北京市,北京市,,通行设施;临街院门;临街院门
116.640579,40.335051,金桥大厦,泉河街道迎宾北路北大街12号,北京市,北京市,泉河,商务住宅;楼宇;商务写字楼
116.633189,40.314866,正新鸡排直营店,商业大厦,北京市,北京市,,餐饮服务;餐饮相关场所;餐饮相关
116.634917,40.314665,维格羊毛衫,商业大厦2楼,北京市,北京市,,购物服务;服装鞋帽皮具店;服装鞋帽皮具店
116.633068,40.313758,康乐沃德网吧,商业街金地大厦28号楼2楼,北京市,北京市,,体育休闲服务;娱乐场所;网吧
116.645622,40.340534,劳动大厦(富乐大街),开放路86号,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.646616,40.340080,劳动大厦(东门),开放路86号劳动大厦(富乐大街),北京市,北京市,,通行设施;临街院门;临街院门
116.632826,40.314262,金地大厦,怀柔商业街28号楼,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.633369,40.314963,怀柔商业大厦,商业街17号,北京市,北京市,,购物服务;商场;普通商场
116.633570,40.314866,大厦羽绒城,南小街与商业街交叉口东南50米,北京市,北京市,,购物服务;购物相关场所;购物相关场所
116.642261,40.309964,望怀大厦(南门),东关二区6号,北京市,北京市,,通行设施;建筑物门;建筑物门
116.630360,40.319270,慧友大厦(正门),青春路21-7号,北京市,北京市,,通行设施;建筑物门;建筑物正门
116.645599,40.340565,劳动大厦(西门),富乐大街与富乐东路交叉口西南方向100米,北京市,北京市,,通行设施;建筑物门;建筑物门
116.638501,40.327754,金融大厦(西门),迎宾北路16附近,北京市,北京市,泉河,通行设施;临街院门;临街院门
116.644808,40.340049,劳动大厦(西1门),开放路86号人才服务中心附近,北京市,北京市,,通行设施;临街院门;临街院门
116.645524,40.341155,劳动大厦(北1门),开放路86号,北京市,北京市,,通行设施;临街院门;临街院门
116.676898,40.290761,北京益学教育集团,影创空间大厦十楼,北京市,北京市,杨宋,公司企业;公司;公司
116.638229,40.327682,怀柔金融大厦(公交站),H56路;H61路,北京市,北京市,泉河,交通设施服务;公交车站;公交车站相关
116.644478,40.340504,怀柔劳动大厦(公交站),H58路;H58路青龙峡;H62路;H69路;H78路;H80路,北京市,北京市,,交通设施服务;公交车站;公交车站相关
116.642574,40.331556,于家园1区30号楼,北大街12号金桥大厦附近,北京市,北京市,泉河,地名地址信息;门牌信息;楼栋号
116.638649,40.309799,立邦(迎宾东路1号专卖店),迎宾环岛瑞特沃斯大厦1层,北京市,北京市,,购物服务;家居建材市场;建材五金市场
116.632423,40.314567,光明明眼镜(青春路店),商业街28号楼金地大厦附近,北京市,北京市,,购物服务;专卖店;眼镜店
116.630359,40.319556,中国人民财产保险股份有限公司(怀柔支公司),青春路21号慧友大厦,北京市,北京市,,金融保险服务;保险公司;中国人民保险公司
116.633056,40.313801,逗店汉服创意商品,南大街(金地大厦),北京市,北京市,,购物服务;专卖店;专营店
116.638284,40.309620,方太专卖店-怀柔瑞特沃斯店,瑞特沃斯机电大厦一层,北京市,北京市,,购物服务;家居建材市场;厨卫市场
116.630288,40.319416,德尔美客医疗美容,青春路21号慧友大厦,北京市,北京市,,购物服务;购物相关场所;购物相关场所
116.630273,40.319555,国网英大集团英大财险(北京市怀柔支公司),青春路21号慧友大厦,北京市,北京市,,公司企业;公司;公司|金融保险服务;保险公司;保险公司
116.637130,40.313201,汇德源,南大街1号汇德源大厦,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.630308,40.319003,中信银行(北京怀柔支行),青春路21号慧友大厦1层,北京市,北京市,,金融保险服务;银行;中信银行
116.630195,40.319287,怀柔人保财险,怀柔镇青春路21号慧友大厦,北京市,北京市,,金融保险服务;金融保险服务机构;金融保险机构
116.633020,40.314241,鹿人棉店,府前街(金地大厦),北京市,北京市,,购物服务;专卖店;专营店
116.634290,40.321543,天琦医疗美容,青春路21号慧友大厦,北京市,北京市,泉河,医疗保健服务;专科医院;整形美容
116.645377,40.340763,劳动大厦停车场,[],北京市,北京市,,交通设施服务;停车场;公共停车场
116.632897,40.314542,金地大厦(东北正门),怀柔商业街28号楼,北京市,北京市,,通行设施;建筑物门;建筑物正门
116.630364,40.318971,中信银行24小时自助银行(北京怀柔支行),青春路21号慧友大厦1层,北京市,北京市,,金融保险服务;自动提款机;中信银行ATM
116.630078,40.318787,整栋大厦,青春路21号,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.676893,40.290771,影创空间大厦,杨宋镇怀耿路120号院影人酒店B座,北京市,北京市,杨宋,生活服务;生活服务场所;生活服务场所
116.645560,40.341155,劳动大厦停车场(出入口),[],北京市,北京市,,交通设施服务;停车场;停车场出入口
116.637060,40.313116,有渔创投大厦,南大街3号,北京市,北京市,,商务住宅;楼宇;商务写字楼
116.638986,40.309386,瑞特沃斯机电建材家具大厦(东北2门),迎宾中路1号,北京市,北京市,,通行设施;临街院门;临街院门
116.637942,40.323365,怀柔农业文化大厦,迎宾北路6号,北京市,北京市,泉河,商务住宅;楼宇;商务写字楼
116.638307,40.309463,瑞特沃斯机电建材家具大厦,迎宾中路1号,北京市,北京市,,购物服务;家居建材市场;建材五金市场|商务住宅;楼宇;商务写字楼
116.639018,40.310371,机电建材家具大厦停车场,迎宾环岛与迎宾路交叉口北150米,北京市,北京市,,交通设施服务;停车场;路边停车场
116.630469,40.319348,慧友大厦停车场(出入口),[],北京市,北京市,,交通设施服务;停车场;停车场出入口
116.633202,40.315095,北京市怀柔商业大厦(西门),南小街与商业街交叉口北50米,北京市,北京市,,通行设施;建筑物门;建筑物门
