lon,lat,name,address,pname,cityname,business_area,type
116.575364,40.290582,京粮物流怀柔物流中心(桃山事业部),怀长路南50米,北京市,北京市,桥梓,生活服务;物流速递;物流速递
116.659650,40.307037,兴岳通达物流,怀柔虫高路58号(怀柔建材市场东500米路北),北京市,北京市,,生活服务;物流速递;物流速递
116.713674,40.322773,北京鑫速达物流有限公司,龙芸路与永昌街交叉路口北侧(驸马庄回迁楼),北京市,北京市,北房镇,生活服务;物流速递;物流速递
116.643343,40.277743,北京金福润田物流有限公司,庙城镇霍各庄村2号北800米,北京市,北京市,庙城,生活服务;物流速递;物流速递
116.645398,40.337227,北京航空货运公司(怀柔急件营业厅),泉河街道开放路78号楼一层门脸,北京市,北京市,,生活服务;物流速递;物流速递
116.638022,40.347969,通联物流有限公司,大中富乐村770号,北京市,北京市,,生活服务;物流速递;物流速递
116.645644,40.318118,华尔物流,美丽家园78号楼11门,北京市,北京市,,生活服务;物流速递;物流速递
116.656912,40.280098,德威治物流配送中心,南圈桥(北京怀柔商鲲教育培训学校北侧约150米),北京市,北京市,庙城,生活服务;物流速递;物流速递
116.617718,40.294852,浪潮伟业物流公司,怀柔镇富密路金善名居北300米,北京市,北京市,庙城,生活服务;物流速递;物流速递
116.684398,40.317804,怀柔中通快运,北房镇沙河桥南100米右转到头右转100米,北京市,北京市,,生活服务;物流速递;物流速递
116.638508,40.316578,妈妈驿站(府前东街店),府前东街19号楼底商11号,北京市,北京市,,生活服务;物流速递;物流速递
116.708566,40.326267,安能物流,北房镇幸福东园5栋4单元,北京市,北京市,北房镇,生活服务;物流速递;物流速递
116.681155,40.326815,安来益物流,京密路与北房西桥交叉口东北100米,北京市,北京市,,生活服务;物流速递;物流速递
116.653074,40.290489,北京兴美顺达物流有限公司,庙城镇高两河村西工业大院1号厂房,北京市,北京市,庙城,生活服务;物流速递;物流速递
116.677716,40.290411,北京翔达运输有限责任公司,杨宋镇益田影人峰汇1号楼2单元402,北京市,北京市,杨宋,生活服务;物流速递;物流速递
116.685295,40.347423,伊藤忠物流(中国)有限公司,雁栖开发区乐园大街8号,北京市,北京市,雁栖,生活服务;物流速递;物流速递
116.652152,40.340243,北京京海安达物流有限公司,大中富乐工业园二区G栋,北京市,北京市,,生活服务;物流速递;物流速递|公司企业;公司;公司
116.677802,40.306503,北京熔成兴业物流有限公司(虫高路),杨宋镇张自口西1号,北京市,北京市,,生活服务;物流速递;物流速递
116.656718,40.340901,圆通速递,乐园大街附近,北京市,北京市,,生活服务;物流速递;物流速递
116.651895,40.322872,德邦快递(北京怀柔区营业部),怀柔镇开放东路星东天地购物广场往东20米,北京市,北京市,泉河,生活服务;物流速递;物流速递
