lon,lat,name,address,pname,cityname,business_area,type
104.455045,30.334410,天府机场北(地铁站),(在建)18号线临江段;18号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.387214,30.278444,福田(地铁站),(在建)资阳线;18号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.474941,30.348016,临江(地铁站),(在建)18号线临江段,四川省,成都市,,交通设施服务;地铁站;地铁站
104.437416,30.257882,吕家咀(地铁站),(在建)资阳线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.317235,30.311344,三岔(地铁站),18号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.433223,30.287695,天府机场1号2号航站楼(地铁站),(在建)18号线临江段;18号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.423068,30.268976,天府机场3号4号航站楼(地铁站),18号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.880912,30.485344,花源(地铁站),10号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.873243,30.462959,新津站(地铁站),10号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.857265,30.441677,花桥(地铁站),10号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.813341,30.423662,五津(地铁站),10号线,四川省,成都市,五津街道,交通设施服务;地铁站;地铁站
103.803093,30.416325,儒林路(地铁站),10号线,四川省,成都市,五津街道,交通设施服务;地铁站;地铁站
103.791370,30.415220,刘家碾(地铁站),10号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.781522,30.408331,新平(地铁站),10号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.818887,30.675357,万盛(地铁站),4号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.889513,30.676944,凤凰大街(地铁站),4号线,四川省,成都市,涌泉,交通设施服务;地铁站;地铁站
103.873069,30.678405,涌泉(地铁站),4号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.868437,30.658430,明光(地铁站),17号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.860554,30.684316,光华公园(地铁站),4号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.855175,30.672593,温泉大道(地铁站),17号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.851779,30.689571,南熏大道(地铁站),4号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.843043,30.686109,凤溪河(地铁站),17号线;4号线,四川省,成都市,凤溪大道,交通设施服务;地铁站;地铁站
103.831101,30.680905,杨柳河(地铁站),4号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.829423,30.698739,市五医院(地铁站),17号线,四川省,成都市,凤溪大道,交通设施服务;地铁站;地铁站
103.813977,30.721646,黄石(地铁站),17号线,四川省,成都市,,交通设施服务;地铁站;地铁站
103.794066,30.756182,金星(地铁站),17号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.069204,30.546203,天府三街(地铁站),1号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.029878,30.634704,红牌楼(地铁站),(在建)10号线三期;3号线,四川省,成都市,,交通设施服务;地铁站;地铁站
104.050409,30.644724,武侯祠(地铁站),(在建)10号线三期,四川省,成都市,,交通设施服务;地铁站;地铁站
104.088167,30.639417,九眼桥(地铁站),(在建)13号线一期,四川省,成都市,小天竺,交通设施服务;地铁站;地铁站
104.022015,30.651695,清水河大桥(地铁站),(在建)17号线二期,四川省,成都市,双楠,交通设施服务;地铁站;地铁站
104.066279,30.642821,华西坝(地铁站),(在建)13号线一期;1号线,四川省,成都市,小天竺,交通设施服务;地铁站;地铁站
