lon,lat,name,address,pname,cityname,business_area,type
104.044159,31.047396,高速路口站(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.009056,31.013502,玉泉村(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.943192,30.983871,百货大楼站(公交站),(停运)彭州社区5路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.983602,31.064371,军屯村站(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.041168,30.995404,太平街口站(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.990304,31.098537,兴泉村(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.881875,31.031476,西京村站(公交站),彭州313路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.080816,30.974865,十里班站(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.021059,30.987122,农业园(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.997478,31.125217,窝店社区(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.064384,31.040942,高简漕(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.984536,31.074922,紫泉村(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.083038,30.973919,彭州训练基地(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.093850,30.966181,赵家巷子(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.065091,30.982222,九尺镇金沙村(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.090269,30.969735,双卷村(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.085039,30.973121,双林村委(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.946007,30.995628,市公安局站(公交站),彭州312路;彭州H2路内环;彭州H2路外环;彭州S6路;彭州S9路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.002413,31.137179,桂荷别苑(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.999822,31.130898,窝店村十四组站(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.008011,31.012672,升平加油站(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.025688,30.989019,市第四人民医院站(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.074349,30.977847,永兴村站(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.031992,30.993950,博海中医骨科(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.892105,31.021415,招呼站(公交站),彭州313路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.000894,31.007287,废品利用基地(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.979861,31.047331,贝儿幼儿园(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.028086,31.040842,昌衡村委(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.027535,31.038720,升平博爱小学(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.114401,30.955955,蒙阳新城(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.984332,31.073390,敖平水泥厂(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.058655,31.044245,双虎布艺(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.968590,30.983915,花龙社区站(公交站),(停运)原S1路;彭州502路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
104.025703,31.032080,双泉村站(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.948937,30.983859,东顺苑站(公交站),彭州201路;彭州502路;彭州S2路;彭州S4路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.959389,30.994995,社保局站(公交站),(停运)彭州社区5路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.953615,31.001667,疾控中心站(公交站),彭州304路;彭州310路;彭州S4路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.989427,31.005017,天鑫幼儿园(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.945946,30.964991,致和镇政府站(公交站),彭州103路;彭州S7路;彭州Y1路,四川省,成都市,致和街道,交通设施服务;公交车站;公交车站相关
103.986415,31.088472,敖楠桥站(公交站),彭州310路,四川省,成都市,敖平镇,交通设施服务;公交车站;公交车站相关
103.936918,30.924891,连封南街站(公交站),(停运)彭州501路夜间;彭州501路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
104.045612,30.993494,九尺印染厂(公交站),彭州309路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.981402,31.052027,军屯村卫生站(公交站),彭州310路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.945156,30.972782,朝阳南路站(公交站),(停运)原S1路;彭州103路;彭州313路;彭州314路;彭州315路;彭州501路;彭州H2路内环;彭州H2路外环;彭州Y1路;彭州Z1路,四川省,成都市,致和街道,交通设施服务;公交车站;公交车站相关
104.014896,31.020647,玉泉小区站(公交站),彭州308路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.955039,30.988247,沃尔玛站(公交站),(停运)彭州501路夜间;彭州104路;彭州201路;彭州307路;彭州308路;彭州309路;彭州S4路;彭州S5路;彭州Y2路;彭州Z1路;彭州Z2路;牡丹花会专线2路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
104.107941,31.029978,友谊桥站(公交站),彭州308路;彭州401路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.965799,30.987682,棕树林站(公交站),彭州201路;彭州307路;彭州308路;彭州309路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.930008,30.981146,顾福桥站(公交站),(停运)彭州社区5路;彭州307路;彭州313路;彭州315路;彭州H2路内环;彭州H2路外环;彭州S1路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.938820,30.988428,老人民医院站(公交站),彭州305路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.948318,30.974905,房管局站(公交站),(停运)原S1路;彭州S1路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.957999,30.999523,中和新城站(公交站),彭州501路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
103.946745,30.988477,金彭中路(公交站),彭州310路,四川省,成都市,天彭,交通设施服务;公交车站;公交车站相关
103.971146,30.993793,调露小区(公交站),(停运)彭州501路夜间;(停运)彭州社区5路,四川省,成都市,,交通设施服务;公交车站;公交车站相关
