lon,lat,name,address,pname,cityname,business_area,type
103.940952,30.973723,四川省邮政速递物流公司(彭州分公司),南大街461号,四川省,成都市,天彭,生活服务;邮局;邮政速递|公司企业;公司;公司
103.866112,31.046517,圆通速递,隆丰镇隆新路北段199号,四川省,成都市,,生活服务;物流速递;物流速递
103.940107,31.087936,中通速递,葛仙山镇楠杨社区东街99号楠杨加油站上来100米,四川省,成都市,,生活服务;物流速递;物流速递
103.972600,30.996191,中通速递,金华东路311号附近,四川省,成都市,,生活服务;物流速递;物流速递
103.834608,31.158523,圆通速递,通济镇仙溪后街68号,四川省,成都市,,生活服务;物流速递;物流速递
104.111399,30.948383,百世速递,建业中路,四川省,成都市,,生活服务;物流速递;物流速递
103.792666,31.033899,圆通速递,金桂西街12东北60米,四川省,成都市,,生活服务;物流速递;物流速递
103.979308,31.045767,圆通速递,军乐镇政通街12号,四川省,成都市,,生活服务;物流速递;物流速递
103.951111,30.992031,速递易,朝阳中路460号国色天香小区,四川省,成都市,天彭,生活服务;生活服务场所;生活服务场所
103.953363,30.980121,圆通速递(彭州分部),兴盛巷7-9号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.861127,30.974226,圆通速递(丽春营业部),白鹤路23号,四川省,成都市,,生活服务;物流速递;物流速递
103.938153,30.985132,中通速递(西北市街),西北市街62号附7号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.829641,31.161759,韵达速递,闽东路,四川省,成都市,,生活服务;物流速递;物流速递
103.932994,30.977547,彭州中通速递,天府西路413号附近,四川省,成都市,,生活服务;物流速递;物流速递
103.757877,31.187445,中通速递(小鱼洞分部),复兴路81号,四川省,成都市,,生活服务;物流速递;物流速递
103.954861,30.957390,极兔速递,金光中路,四川省,成都市,致和街道,生活服务;物流速递;物流速递
103.866950,31.045441,极兔速递,彭白路,四川省,成都市,,生活服务;物流速递;物流速递
103.969122,30.985333,极兔速递,[],四川省,成都市,天彭,生活服务;物流速递;物流速递
104.117131,30.949295,极兔速递,学子路,四川省,成都市,,生活服务;物流速递;物流速递
103.937725,30.985534,极兔速递,[],四川省,成都市,天彭,生活服务;物流速递;物流速递
104.109332,30.948308,韵达快运(蒙阳分部),蒙阳镇农物流小区22栋5单元,四川省,成都市,,生活服务;物流速递;物流速递
103.955074,30.963514,泰便利速递,九江南路与清白江西路交叉路口往西北约50米,四川省,成都市,致和街道,生活服务;物流速递;物流速递
104.117768,30.951540,极兔速递(濛阳网点),濛三北路779号,四川省,成都市,,生活服务;物流速递;物流速递
104.110564,30.957791,中通速递濛阳镇网点,园石街23,四川省,成都市,,生活服务;物流速递;物流速递
103.948701,30.974938,韵达快运,天彭镇朝阳南路320号,四川省,成都市,致和街道,生活服务;物流速递;物流速递
104.126501,30.943513,承宏物流,[],四川省,成都市,,生活服务;物流速递;物流速递
104.127312,30.943609,快点物流,[],四川省,成都市,,生活服务;物流速递;物流速递
104.126645,30.943542,元邦物流,[],四川省,成都市,,生活服务;物流速递;物流速递
103.978225,31.043551,百世快运百世快递,军乐镇乐兴西路27-29,四川省,成都市,,生活服务;物流速递;物流速递
104.104187,31.021309,圆通快递公司,三界镇育才街118号,四川省,成都市,,生活服务;物流速递;物流速递
104.021176,31.025682,圆通快递公司,升平镇升玉南街139号,四川省,成都市,,生活服务;物流速递;物流速递
104.037249,30.994041,圆通快递公司,九尺镇上兴街19号,四川省,成都市,,生活服务;物流速递;物流速递
104.004039,31.142805,红岩圆通快递,[],四川省,成都市,,生活服务;物流速递;物流速递
