lon,lat,name,address,pname,cityname,business_area,type
103.904197,30.976963,兰丰物流,天彭镇安彭路谢家社区3组,四川省,成都市,,生活服务;物流速递;物流速递
103.929607,30.984854,彭州市华西运业有限责任公司,绣城路北段136号绣城路北,四川省,成都市,天彭,公司企业;公司;公司|生活服务;物流速递;物流速递
103.901351,30.976940,峨眉山市众城物流(彭州办事处),彭温路成都方园动物药业对面,四川省,成都市,,生活服务;物流速递;物流速递
103.913093,30.977175,彭州市亚利物流有限公司,天彭镇谢家村(亚东水泥厂旁边),四川省,成都市,,生活服务;物流速递;物流速递
103.926048,30.979622,佳明物流(彭州办事处),天人东三巷与天人中路交叉口西50米,四川省,成都市,,生活服务;物流速递;物流速递
103.901351,30.976940,成都市金胜利物流有限公司,天彭镇亚东水泥厂(方圆动物药业对面),四川省,成都市,,生活服务;物流速递;物流速递
104.125415,30.959478,富邦货运,九高路北50米,四川省,成都市,,生活服务;物流速递;物流速递
103.947071,30.989797,成都万发货运,天彭街道红照壁北街43号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.956742,30.977768,成都坤鹏物流有限公司,天府东路62号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.926241,30.980576,海风物流(彭州店),天人北街40,四川省,成都市,,生活服务;物流速递;物流速递
103.958329,30.962225,成都安蓉达彭州分公司,清白江东路96号,四川省,成都市,天彭,生活服务;物流速递;物流速递|公司企业;公司;公司
103.926855,30.979633,四川君健物流有限公司,天人东四巷27号,四川省,成都市,,生活服务;物流速递;物流速递
104.119118,30.947059,海南鸿运达物流有限公司,蒙三北路539号附近,四川省,成都市,,生活服务;物流速递;物流速递
104.117485,30.949879,成都欣蓉物流有限公司,学子路71号,四川省,成都市,,生活服务;物流速递;物流速递
103.932728,30.953271,沁林物流,致和镇成都国际医药港C3栋,四川省,成都市,,生活服务;物流速递;物流速递
103.968747,30.990386,中通快运,调露寺东路63号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.780505,31.103187,磁峰申通快递,蟠江路15号,四川省,成都市,,生活服务;物流速递;物流速递
103.964796,30.971071,彭州余氏东风(新博美2分店),博美装饰城大门南侧,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.926398,30.980057,安能(天人中路店),天人东街39号,四川省,成都市,,生活服务;物流速递;物流速递
103.935808,30.985508,成都亚兴运输有限公司,翠湖东路59号,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.110539,30.956442,四川幸福有菜供应链配送中心,[],四川省,成都市,,生活服务;物流速递;物流速递
103.932607,30.953497,四川诺特冷链物流有限公司,致和镇健康大道198号,四川省,成都市,,生活服务;物流速递;物流速递
